feature_id,area,feature,user_story,expected_behavior,code_evidence,test_evidence,verification_status,latest_test_result,errors,fix_status,retest_status,notes
chart-011,LineChart,Variance analysis,"As an analyst, I can compare actual production against forecast.",Variance is an ordinary related bar chart that can be colored by sign or annotation and remains synchronized with the parent.,packages/og-components/src/components/line-chart/related-chart.services.ts,packages/og-components/src/components/line-chart/__tests__/related-chart.services.test.ts,passed_automated,139 tests passed and synchronized browser demo passed,,fixed,passed,Legacy showVariance configuration resolves to createVarianceRelatedChart.
chart-012,LineChart,Zoom and fullscreen,"As an analyst, I can focus on a time range and inspect a larger chart.",X and Y zoom reset wheel interactions and fullscreen mode remain reversible.,packages/og-components/src/components/decline-curve/decline-curve.tsx,apps/playground/src/routes/components/line-chart.tsx,passed_manual,Toolbar and chart interaction browser inspection passed,,not_needed,passed,
chart-013,LineChart,Deprecated compatibility entries,"As an existing consumer, I can upgrade without an immediate breaking migration.",DeclineCurve and ProductionChart remain typed deprecated compatibility entries with migration documentation.,packages/og-components/src/components/index.ts,skills/og-components/rules/decline-curve.md,passed_review,Typecheck package build and docs build passed,,fixed,passed,
chart-014,LineChart,Related chart composition,"As an analyst, I can group derivative or contextual charts under a parent chart.",Consumers can derive any number of bar or line charts from typed parent values and all charts share x zoom cursor and annotations while keeping independent y scales.,packages/og-components/src/components/line-chart/related-chart.view.tsx,packages/og-components/src/components/line-chart/__tests__/related-chart.services.test.ts,passed_manual,139 tests passed and grouped zoom browser interaction passed with zero console errors,,fixed,passed,Shared x-range orchestration lives in chartGroupMachine; consumer derivation errors fail closed without crashing the parent.
chart-015,ChartGroup,ID-based chart composition,"As an analyst, I can compose independent line or bar charts from source forecast and derived series.",Forecasts are ordinary TimeSeries entries; charts select series by stable ID; native timelines remain intact; explicit resampling aligns cross-resolution derivatives; outputs remain reusable by later charts.,packages/og-components/src/components/line-chart/chart-group.services.ts,packages/og-components/src/components/line-chart/__tests__/chart-group.services.test.ts,passed_automated,139 tests passed,,fixed,passed,associatedType is optional metadata; legacy fluidType curveType and relatedCharts remain supported.
chart-016,ChartGroup,Multi-resolution synchronized navigation,"As an analyst, I can drill from a coarse parent chart into finer related charts without losing independent value scales.",Every panel exposes mirrored X and independent per-axis Y controls; bar buckets update the shared absolute time window; adaptive ticks and native data reveal daily hourly or secondly detail inside monthly selections.,packages/og-components/src/components/line-chart/chart-group.view.tsx,packages/og-components/src/machines/__tests__/chart-group.machine.test.ts,passed_manual,139 tests passed; monthly-to-daily-and-hourly browser drill-down passed with mirrored X and isolated Y state; zero console errors,,fixed,passed,Shared X and scoped Y ranges are owned by chartGroupMachine; the visual adapter owns only uPlot lifecycle.
chart-017,ChartGroup,Per-chart presentation settings,"As an analyst, I can simplify one chart or every chart for presentation without changing its data.",Every chart has independent settings for presentation mode vertical zoom bars time zoom bar and zoom buttons; presentation mode enlarges type and spacing while temporarily suppressing interaction chrome without overwriting visibility choices; apply-to-all copies the current layout; reset restores declarative defaults.,packages/og-components/src/machines/chart-group.machine.ts,packages/og-components/src/machines/__tests__/chart-group.machine.test.ts,passed_manual,139 tests passed; independent presentation preference per-chart hide apply-to-all and restore interactions passed in browser with zero console errors,,fixed,passed,The settings trigger remains visible for recovery and the visual component owns no preference state.
chart-018,Chart,Canonical line and bar API,"As an integrator, I can choose a line or bar renderer without changing my series schema.",Chart requires an explicit line or bar kind while actual and forecast identity remains series metadata; deprecated line-specific entries remain available during migration.,packages/og-components/src/components/line-chart/line-chart.tsx,packages/og-components/src/components/line-chart/__tests__/chart.test.tsx,passed_automated,139 tests passed and package declarations built,,fixed,passed,The focused chart export is canonical and the line-chart subpath remains compatible.
map-001,Map,Asset rendering and clustering,"As an operator, I can view large asset collections spatially.",Valid assets render by type and status cluster at lower zoom levels and expand predictably.,packages/og-components/src/components/map/map.tsx,apps/playground/src/routes/components/map.tsx,passed_manual,Map playground route and production docs build passed,,not_needed,passed,Heavy Mapbox and deck.gl code is isolated in a lazy route chunk.
map-002,Map,Selection and hover,"As an operator, I can inspect and select one or many assets.",Hover single select additive select deselect and clear selection update the XState machine consistently.,packages/og-components/src/machines/map.machine.ts,packages/og-components/src/machines/__tests__/map-selection.test.ts,passed_automated,139 tests passed,,not_needed,passed,
map-003,Map,Lasso workflow,"As an operator, I can lasso assets and overlay features.",Lasso selection supports replacement and additive modes and clears without disturbing unrelated map state.,packages/og-components/src/utils/lasso-selection.ts,packages/og-components/src/utils/__tests__/lasso-workflow.test.ts,passed_automated,139 tests passed,,not_needed,passed,
map-004,Map,Filtering and search,"As an operator, I can narrow visible assets by type status and text.",Filters combine predictably and visible indices update from machine context.,packages/og-components/src/machines/map.machine.ts,packages/og-components/src/machines/__tests__/map-events.test.ts,passed_automated,139 tests passed,,not_needed,passed,
map-005,Map,Overlay import and management,"As an operator, I can import and manage KMZ KML GeoJSON and shapefile overlays.",Supported files parse through services and visibility names styles overrides versioning and removal persist through the store.,packages/og-components/src/utils/overlay-parsers.ts,packages/og-components/src/utils/__tests__/utils.test.ts,passed_automated,139 tests passed,,not_needed,passed,
map-006,Map,Controls and viewport,"As an operator, I can navigate and fit the map to relevant assets.",Configured controls render pan and zoom update machine state and fit-to-assets handles empty data safely.,packages/og-components/src/components/map/components/controls/map-controls.tsx,packages/og-components/src/machines/__tests__/map-events.test.ts,passed_automated,139 tests passed,,fixed,passed,Biome 2 accessibility findings were corrected.
asset-001,AssetDetailCard,Structured asset detail,"As an operator, I can inspect domain data in a compact expandable card.",Configured sections and slots render valid asset fields without invalid nested interactive controls.,packages/og-components/src/components/asset-card/asset-card.tsx,apps/playground/src/routes/components/asset-detail-card.tsx,passed_manual,Asset card playground route docs build and lint passed,,fixed,passed,Nested interactive markup and labels were corrected.
selection-001,Selection,Selection summary and panel,"As an operator, I can review a multi-selection and act on individual items.",Summary filters mini cards asset adapters and overlay adapters preserve stable identifiers and accessible actions.,packages/og-components/src/components/map/components/selection-summary/selection-panel.tsx,packages/og-components/src/machines/__tests__/map-selection.test.ts,passed_automated,139 tests passed and docs build passed,,fixed,passed,A conditional React hooks violation was removed.
store-001,Services,In-memory persistence,"As an integrator, I can use a deterministic ephemeral AssetStore.",All AssetStore CRUD query preference map-view overlay export and import methods satisfy the shared contract.,packages/og-components/src/services/memory-store.ts,packages/og-components/src/services/__tests__/stores.test.ts,passed_automated,139 tests passed,,fixed,passed,
store-002,Services,LocalStorage persistence,"As a browser integrator, I can persist AssetStore data locally.",The adapter implements the shared contract with namespaced serialized data and safe missing or malformed-data behavior.,packages/og-components/src/services/localstorage-store.ts,packages/og-components/src/services/__tests__/stores.test.ts,passed_automated,139 tests passed,,fixed,passed,
store-003,Services,SQLite persistence,"As a paid or local-database integrator, I can persist AssetStore data in SQLite.",Schema initialization shared store operations and portable export work through sql.js.,packages/og-components/src/services/sqlite-store.ts,packages/og-components/src/services/__tests__/stores.test.ts,passed_automated,139 tests passed,,fixed,passed,
store-004,Services,Store migration,"As an integrator, I can migrate data between storage adapters.",Migration exports the source snapshot and imports it into the destination without changing logical records.,packages/og-components/src/services/migrate-store.ts,packages/og-components/src/services/__tests__/stores.test.ts,passed_automated,139 tests passed across memory LocalStorage and SQLite,,fixed,passed,
schema-001,Schemas,Runtime validation,"As an integrator, I can validate assets display configuration overlays and time series at boundaries.",Zod schemas match exported TypeScript contracts and safe and throwing parse APIs report invalid inputs clearly.,packages/og-components/src/schemas/index.ts,packages/og-components/src/schemas/__tests__/schemas.test.ts,passed_automated,139 tests passed,,fixed,passed,Zod 4 signatures and arbitrary semantic time-series keys are covered.
utils-001,Utilities,Asset and numeric helpers,"As an integrator, I can safely filter group format bound and convert domain data.",Utility functions handle empty invalid and representative domain inputs deterministically.,packages/og-components/src/utils/index.ts,packages/og-components/src/utils/__tests__/utils.test.ts,passed_automated,139 tests passed,,not_needed,passed,
docs-001,Playground,Executable component documentation,"As an open-source adopter, I can discover each public component through deterministic runnable demos.",The playground builds routes to supported components uses deterministic sample data and documents the current API.,apps/playground/src/routes/components,apps/playground/src/routes/components/line-chart.tsx,passed_manual,Production docs build and browser route inspection passed,,fixed,passed,Chart demos lead with production line bar grouped forecast and annotation capabilities; annotation labels and descriptions appear in hover tooltips; a domain-neutral insight example closes the page.
package-001,Package,Published API and build,"As an open-source adopter, I can install typed ESM entry points and import documented public APIs.",Package exports resolve components schemas utilities services machines styles sample data and focused entries and declarations build successfully.,packages/og-components/package.json,packages/og-components/tsup.config.ts,passed_automated,Lint typecheck test package build and docs build passed,,fixed,passed,Initial chart-only docs payload dropped from about 3.3 MB to about 270 KB.
deps-001,Toolchain,Current dependencies,"As a maintainer, I can work on a supported current toolchain.",Workspace dependencies use registry-latest compatible releases and intentional pins are documented.,package.json,CHANGELOG.md,passed_automated,pnpm outdated reports only the documented TypeScript 5.9 compatibility pin,,fixed,passed,TypeScript 7 currently crashes tsup declaration bundling; all other direct dependencies are current.
arch-001,Architecture,State service and view boundaries,"As a contributor, I can extend charts without mixing workflow logic data services and rendering.",The plain chart uses pure services XState orchestration a stateless view and an isolated imperative adapter with documented boundaries.,docs/architecture/line-chart.md,packages/og-components/src/machines/__tests__/line-chart.machine.test.ts,passed_review,Architecture review typecheck and 139 tests passed,,fixed,passed,The legacy advanced editor is explicitly documented as the next extraction boundary while retaining compatibility.
